"01coin","zoc"
"0chain","zcn"
"0-knowledge-network","0kn"
"0-mee","ome"
"0vix-protocol","vix"
"0vm","zerovm"
"0x","zrx"
"0x0-ai-ai-smart-contract","0x0"
"0x1-tools-ai-multi-tool","0x1"
"0x404","xfour"
"0xaiswap","0xaiswap"
"0xanon","0xanon"
"0xbet","0xbet"
"0xblack","0xb"
"0xcoco","coco"
"0xconnect","0xcon"
"0xdao","oxd"
"0xdefcafe","cafe"
"0xengage","engage"
"0xfair","fair"
"0xfreelance","0xfree"
"0xgambit","0xg"
"0xgasless","0xgas"
"0xgasless-2","0xgas"
"0xgpu-ai","0xg"
"0x-leverage","oxl"
"0xliquidity","0xlp"
"0xlsd","0xlsd"
"0xmonero","0xmr"
"0xnude","nude"
"0xnumber","oxn"
"0xos-ai","0xos"
"0xs","$0xs"
"0xscans","scan"
"0xsnipeproai","0xspai"
"0xtools","0xt"
"0xvault","vault"
"1000bonk","1000bonk"
"1000btt","1000btt"
"1000rats","1000rats"
"1000sats-ordinals","1000sats"
"1000shib","1000shib"
"1000troll","1000troll"
"12ships","tshp"
"16dao","16dao"
"1art","1art"
"1ex","1ex"
"1hive-water","water"
"1inch","1inch"
"1inch-yvault","yv1inch"
"1long","1long"
"1million-nfts","1mil"
"1minbet","1mb"
"1move token","1mt"
"1reward-token","1rt"
"1safu","safu"
"1sol","1sol"
"-2","₿"
"2024","2024"
"2024pump","pump"
"2049","2049"
"2080","2080"
"20weth-80bal","20weth-80bal"
"21million","21m"
"28","28"
"28vck","vck"
"2acoin","arms"
"2dai-io","2dai"
"2fai","2fai"
"2g-carbon-coin","2gcc"
"2moon","moon"
"2omb-finance","2omb"
"2share","2shares"
"-3","meow"
"300fit","fit"
"3a-lending-protocol","a3a"
"3d3d","3d3d"
"3dpass","p3d"
"3-kingdoms-multiverse","3km"
"3space-art","pace"
"3wild","3wild"
"404aliens","404a"
"404-bakery","bake"
"404blocks","404blocks"
"404wheels","404wheels"
"4096","4096"
"42-coin","42"
"4chan","4chan"
"4dcoin","4dc"
"4d-twin-maps-2","4dmaps"
"4int","4int"
"4jnet","4jnet"
"4-next-unicorn","nxtu"
"50cal","50cal"
"50cent","50c"
"5g-cash","vgc"
"5ire","5ire"
"5mc","5mc"
"69420","69420"
"777","777"
"888tron","888"
"88mph","mph"
"8bit-chain","w8bit"
"8bitearn","8bit"
"8pay","8pay"
"90s-crypto-exchange","90s"
"99starz","stz"
"9inch","9inch"
"9inch-eth","9inch"
"a3s","aa"
"a4-finance","a4"
"aada-finance","lenfi"
"aag-ventures","aag"
"aardvark","ardvrk"
